REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
23,2024,12,1,24,2,06,,1,6,4,1,,,1,3,21,05,25,,,,400,400,1,400,400,0,,0,0,0,,74,,3300,1,4,3,3,,,,,,,,,,,,,,,,,1,01,,2322
24,2024,12,4,47,0,12,,1,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,133
25,2024,12,4,35,4,08,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,1,12,2,198
26,2024,12,1,48,8,06,,1,6,4,1,,,2,3,11,02,08,,,,400,400,1,400,400,0,,0,0,0,,186,,2760,1,1,3,3,,,,,,,,,,,,,,,,,1,18,,631
27,2024,12,1,24,2,11,,1,1,0,1,,,4,2,11,08,36,,,,600,550,1,600,550,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,02,,769
28,2024,12,1,13,0,08,,2,2,2,1,,,2,3,17,02,05,,,,375,375,1,375,375,0,,0,0,0,,115,,4786,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,69
29,2024,12,4,35,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,11,,163
30,2024,12,3,11,0,10,,1,1,1,,1,1,2,3,09,08,36,,,,,,,,,,,,,,,,7,,,,,,6,2,1,4,09,3,2,,,1,1,,,1,,,1,11,,48
31,2024,12,1,12,0,12,,1,5,1,1,,,2,3,15,07,33,,,,360,360,1,360,360,0,,0,0,0,,27,,1800,3,1,1,4,,,,,,,,,,,,,,,,,,01,,238
32,2024,12,4,35,0,12,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,14,,78
33,2024,12,4,35,0,12,,2,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,123
34,2024,12,2,24,2,02,4,2,2,4,1,,,1,3,17,04,18,1,4,1,400,0,1,400,0,,,,,,,56,,2300,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,329
35,2024,12,4,59,0,03,6,2,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,1,02,,260
36,2024,12,1,35,0,05,,2,1,5,1,,,2,3,10,02,06,,,,400,400,1,400,400,0,,0,0,0,,37,,5288,3,1,3,4,,,,,,,,,,,,,,,,,1,03,1,358
37,2024,12,1,35,0,06,,1,2,2,1,,,2,3,08,10,42,,,,400,400,1,400,400,0,,0,0,0,,114,,1900,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,282
38,2024,12,1,35,3,04,,1,6,6,1,,,2,1,19,01,03,,,,400,400,1,400,400,0,,0,0,0,,26,,2175,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,732
39,2024,12,3,46,6,05,,1,6,5,,1,1,2,2,12,03,11,,,,,,,,,,,,,,,,31,,,,,,31,6,1,4,12,8,2,,1,1,1,,,3,,,1,01,,235
40,2024,12,1,35,0,06,,1,1,2,1,,,3,3,01,01,04,,,,700,700,1,700,700,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,1,03,2,642
41,2024,12,4,46,6,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,205
42,2024,12,1,24,0,07,,2,6,5,1,,,1,3,16,05,20,,,,350,400,1,350,400,0,,0,50,50,,240,,5066,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,120
43,2024,12,1,35,0,01,1,1,6,1,1,,,2,3,18,06,29,,,,20,20,2,20,20,0,,0,0,0,4,40,,1700,3,2,2,2,,,,,,,,,,,,,,,,,2,14,,246
44,2024,12,4,24,2,08,,2,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,1,01,,1117
45,2024,12,4,24,1,11,,1,1,4,,1,2,2,3,19,08,38,,,,,,,,,,,,,,,,38,,,,,,,,,4,11,2,,,,,,,,,,,,11,,203
46,2024,12,2,59,0,10,,1,1,5,1,,,2,3,07,01,04,3,2,1,400,0,1,400,0,,,,,,,151,,12019,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,254
47,2024,12,1,47,0,07,,2,4,5,1,,,1,3,21,03,13,,,,375,375,1,375,375,0,,0,0,0,,202,,4564,1,1,2,4,,,,,,,,,,,,,,,,,1,14,3,136
48,2024,12,2,24,0,08,,2,2,4,1,,,6,3,12,02,05,3,1,,320,0,1,320,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,02,,140
49,2024,12,4,35,4,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,,,,,,01,,1099
50,2024,12,4,35,0,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,05,,263
51,2024,12,1,11,0,08,,1,1,3,1,,,4,3,14,03,11,,,,200,50,2,200,50,,,,,,7,188,,,,,,,,,,,,,,,,,,,,,,,1,03,3,41
52,2024,12,1,47,0,06,,1,1,5,1,,,2,1,07,10,42,,,,400,400,1,400,400,0,,0,0,0,,8,,1575,3,1,3,3,,,,,,,,,,,,,,,,,3,03,1,184
53,2024,12,1,59,9,03,6,1,6,5,1,,,2,3,14,03,12,,,,400,450,1,400,450,0,,50,0,50,,12,,4327,3,1,2,4,,,,,,,,,,,,,,,,,1,18,,915
54,2024,12,1,48,7,09,,2,1,4,1,,,2,1,13,02,08,,,,375,375,1,375,375,0,,0,0,0,,34,,1950,3,1,1,1,,,,,,,,,,,,,,,,,1,08,,678
55,2024,12,1,59,0,03,6,1,2,2,1,,,2,3,06,08,38,,,,480,600,1,480,600,0,,120,0,120,,2,,3850,1,2,2,4,,,,,,,,,,,,,,,,,1,02,,196
56,2024,12,2,59,9,03,6,1,1,5,1,,,2,1,14,03,11,3,1,1,400,0,1,400,0,,,,,,,50,,4808,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,370
57,2024,12,1,35,0,10,,1,1,6,1,,,6,2,14,02,05,,,,300,250,1,300,250,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,1,02,,582
58,2024,12,1,47,0,05,,2,1,4,1,,,2,3,04,10,41,,,,400,520,1,400,520,120,0,120,0,120,,66,,4567,3,1,4,4,,,,,,,,,,,,,,,,,3,03,1,156
59,2024,12,3,48,0,06,,2,1,4,,1,2,2,3,20,02,08,,,,,,,,,,,,,,,,12,,,,,,3,3,1,2,04,2,2,,,,1,,,1,,,1,06,2,78
60,2024,12,4,13,0,11,,1,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,01,,129
61,2024,12,4,24,1,12,,1,2,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,302
62,2024,12,1,35,5,01,1,1,6,1,1,,,2,3,10,07,33,,,,200,200,2,200,200,0,,0,0,0,4,13,,1700,1,4,2,4,,,,,,,,,,,,,,,,,2,03,,258
63,2024,12,1,59,0,09,,2,5,4,1,,,1,2,17,04,16,,,,375,510,1,375,510,0,,75,0,75,,97,,5598,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,343
64,2024,12,1,35,4,03,6,1,6,4,1,,,2,1,06,08,38,,,,400,400,1,400,400,0,,0,0,0,,16,,2400,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,403
65,2024,12,4,24,2,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,11,,189
66,2024,12,1,24,2,07,,1,1,5,1,,,2,3,18,01,03,,,,375,525,1,375,525,0,,0,150,150,,44,,8000,3,1,4,4,,,,,,,,,,,,,,,,,1,03,3,835
67,2024,12,1,24,2,09,,2,1,4,1,,,2,2,07,10,42,,,,400,460,1,400,460,0,,60,0,60,,133,,1900,3,1,2,3,,,,,,,,,,,,,,,,,1,04,4,243
68,2024,12,1,47,0,04,,2,1,4,1,,,2,3,12,01,02,,,,400,400,1,400,400,0,,0,0,0,,103,,2885,3,1,2,2,,,,,,,,,,,,,,,,,1,05,,113
69,2024,12,3,13,0,03,6,2,1,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,7,1,,,63,2,1,1,1,1,1,,2,,,1,12,1,178
70,2024,12,1,59,9,08,,2,1,5,1,,,1,3,16,05,20,,,,400,420,1,400,420,80,1,0,100,100,,88,,3750,1,1,2,4,,,,,,,,,,,,,,,,,1,03,3,302
71,2024,12,1,35,4,07,,1,2,6,2,,,1,2,16,05,20,,,,400,0,1,550,30,400,3,0,0,0,,208,,8654,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,232
72,2024,12,1,35,4,04,,2,1,5,1,,,4,1,12,02,05,,,,350,400,1,350,400,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,1,03,1,316
73,2024,12,4,47,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,11,,140
74,2024,12,1,24,0,02,4,2,6,3,2,,,1,3,16,05,24,,,,100,125,2,200,225,0,,0,0,0,4,52,,2400,1,3,2,4,,,,,,,,,,,,,,,,,2,13,,471
75,2024,12,4,47,0,12,,2,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,140
76,2024,12,1,10,0,03,6,1,6,4,1,,,2,3,17,05,26,,,,120,120,2,120,120,0,,0,0,0,4,7,,1775,3,4,1,1,,,,,,,,,,,,,,,,,2,01,,53
77,2024,12,4,11,0,08,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,1,13,4,59
78,2024,12,1,24,0,10,,1,1,6,1,,,1,2,21,01,02,,,,375,305,1,375,305,70,1,0,0,0,,209,,5974,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,123
79,2024,12,4,12,0,12,,1,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,112
80,2024,12,1,48,7,12,,1,1,5,1,,,2,3,16,05,25,,,,500,200,1,500,200,300,4,0,0,0,,240,,2850,1,1,2,3,,,,,,,,,,,,,,,,,,05,,367
81,2024,12,1,59,9,03,5,2,2,5,1,,,2,3,16,02,07,,,,375,375,1,375,375,0,,0,0,0,,21,,2800,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,385
82,2024,12,1,13,0,02,4,1,6,2,1,,,2,3,19,07,32,,,,250,240,2,250,240,0,,0,0,0,7,55,,1530,3,1,2,4,,,,,,,,,,,,,,,,,1,15,,211
83,2024,12,1,35,4,07,,1,2,4,1,,,2,2,12,02,06,,,,400,500,1,400,500,0,,100,0,100,,210,,3846,3,1,3,4,,,,,,,,,,,,,,,,,1,03,3,997
84,2024,12,1,24,2,07,,1,1,6,1,,,2,2,15,03,13,,,,400,400,1,400,400,0,,0,0,0,,29,,6500,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,218
85,2024,12,4,35,3,09,,2,1,6,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,05,,278
86,2024,12,4,35,4,12,,2,3,0,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,973
87,2024,12,4,59,9,02,4,1,6,2,,1,1,2,1,12,02,07,,,,,,,,,,,,,,,,4,,,,,,,,,3,05,9,,,,,,,,,,,2,04,,340
88,2024,12,1,13,0,09,,2,1,5,1,,,2,3,11,02,07,,,,375,375,1,375,375,0,,0,0,0,,74,,3795,3,1,3,4,,,,,,,,,,,,,,,,,1,08,,115
89,2024,12,1,35,5,04,,2,6,4,1,,,1,3,17,04,16,,,,400,400,1,400,400,0,,0,0,0,,58,,3800,1,1,4,4,,,,,,,,,,,,,,,,,1,04,,305
90,2024,12,4,24,0,11,,1,5,4,,1,1,2,3,04,08,35,,,,,,,,,,,,,,,,170,,,,,,,,,5,07,12,,,,,,,,,,,,01,,256
91,2024,12,1,10,0,06,,2,1,5,1,,,1,3,16,02,09,,,,350,370,1,350,370,0,,0,20,20,,162,,2700,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,23
92,2024,12,1,35,5,05,,1,1,5,1,,,4,3,14,02,06,,,,575,520,1,575,520,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,1,03,1,246
93,2024,12,4,35,4,08,,1,1,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,939
94,2024,12,4,59,9,03,6,2,6,4,,1,2,2,3,08,10,42,,,,,,,,,,,,,,,,26,,,,,,,,,1,01,5,,,,,,,,,,,1,10,,514
95,2024,12,1,35,0,06,,2,1,4,1,,,2,3,10,07,34,,,,400,40,1,400,40,360,1,0,0,0,,60,,1820,3,1,3,4,,,,,,,,,,,,,,,,,1,03,2,85
96,2024,12,4,10,0,01,1,1,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,99
97,2024,12,1,46,6,04,,2,6,5,1,,,2,3,19,07,32,,,,350,320,1,350,320,0,,0,40,40,,3,,1900,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,167
98,2024,12,4,12,0,11,,2,1,2,,1,1,1,3,21,01,01,,,,,,,,,,,,,,,,40,,,,,,,,,5,07,2,,,,,,,,,,,,11,,198
99,2024,12,2,59,9,08,,2,1,1,1,,,2,2,09,08,38,1,99,2,240,0,2,240,0,,,,,,5,129,,1700,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,203
100,2024,12,4,48,7,11,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,08,,511
101,2024,12,4,35,4,09,,2,1,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,,1409
102,2024,12,1,10,0,05,,2,6,4,1,,,1,3,16,05,20,,,,400,500,1,400,500,0,,0,100,100,,171,,3846,1,1,2,4,,,,,,,,,,,,,,,,,1,18,,49
103,2024,12,4,24,2,11,,2,2,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,05,,382
104,2024,12,4,24,2,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,05,,1002
105,2024,12,1,24,2,10,,1,1,4,1,,,2,2,17,04,17,,,,310,310,1,310,310,0,,0,0,0,,33,,6000,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,277
106,2024,12,4,24,2,01,2,1,6,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,2,03,,826
107,2024,12,4,48,0,10,,2,1,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,03,,107
108,2024,12,1,59,0,01,1,2,6,1,1,,,2,3,19,07,33,,,,100,100,2,100,100,0,,0,0,0,4,3,,1750,3,4,2,2,,,,,,,,,,,,,,,,,2,03,,299
109,2024,12,1,46,0,07,,1,1,5,1,,,1,2,17,04,18,,,,400,480,1,400,480,0,,80,0,80,,136,,2399,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,49
110,2024,12,4,35,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,155
111,2024,12,1,35,0,03,5,2,6,4,1,,,2,3,17,05,24,,,,300,300,1,300,300,0,,0,0,0,,17,,2800,3,1,2,2,,,,,,,,,,,,,,,,,1,14,1,171
112,2024,12,3,46,6,06,,2,1,5,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,60,7,1,,,17,2,,,1,1,,,2,,,1,05,,180
113,2024,12,1,47,0,06,,2,1,2,1,,,2,3,14,02,07,,,,375,375,1,375,375,0,,0,0,0,,69,,3692,3,1,2,3,,,,,,,,,,,,,,,,,1,08,,172
114,2024,12,1,12,0,09,,2,2,1,1,,,4,3,15,07,34,,,,30,30,2,30,30,,,,,,1,18,,,,,,,,,,,,,,,,,,,,,,,1,02,,233
115,2024,12,2,35,0,08,,2,1,5,1,,,1,3,21,02,09,2,31,1,362,0,1,362,0,,,,,,,128,,4230,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,218
116,2024,12,1,10,0,05,,2,2,4,1,,,1,3,17,02,09,,,,375,375,1,375,375,0,,0,0,0,,2,,2454,1,3,2,4,,,,,,,,,,,,,,,,,1,03,1,134
117,2024,12,1,11,0,08,,2,1,4,1,,,1,3,17,04,16,,,,320,320,1,320,320,0,,0,0,0,,191,,3800,1,1,3,4,,,,,,,,,,,,,,,,,1,04,4,71
118,2024,12,4,47,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,106
119,2024,12,1,24,0,10,,1,1,6,1,,,2,1,14,03,11,,,,375,395,1,375,395,0,,20,0,20,,40,,4872,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,164
120,2024,12,1,59,9,09,,1,6,4,1,,,2,3,15,08,35,,,,400,400,1,400,400,0,,0,0,0,,26,,3750,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,279
121,2024,12,4,35,5,07,,1,5,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,1,01,,380
122,2024,12,1,59,9,05,,2,1,5,1,,,6,3,14,02,06,,,,150,80,2,150,80,,,,,,6,87,,,,,,,,,,,,,,,,,,,,,,,1,03,1,743
123,2024,12,1,10,0,04,,1,1,4,1,,,1,1,17,04,17,,,,400,360,1,400,360,0,,0,0,0,,61,,3900,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,54
124,2024,12,4,59,9,12,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,201
125,2024,12,1,13,0,11,,1,1,4,1,,,6,3,14,03,11,,,,100,55,2,100,55,,,,,,5,58,,,,,,,,,,,,,,,,,,,,,,,,02,,72
126,2024,12,1,59,9,11,,2,1,2,1,,,1,3,17,02,08,,,,375,375,1,375,375,0,,0,0,0,,63,,3054,1,1,2,4,,,,,,,,,,,,,,,,,,02,,253
127,2024,12,4,11,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,47
128,2024,12,4,11,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,11,,65
129,2024,12,1,48,0,06,,1,1,4,1,,,1,3,16,03,13,,,,400,400,1,400,400,0,,0,0,0,,41,,4613,3,1,2,4,,,,,,,,,,,,,,,,,1,06,1,276
130,2024,12,1,59,0,01,2,2,6,1,1,,,1,3,18,06,30,,,,100,100,2,100,100,0,,0,0,0,4,4,,1740,1,4,2,2,,,,,,,,,,,,,,,,,2,14,,256
131,2024,12,4,24,0,12,,1,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,80
132,2024,12,4,35,5,12,,1,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,11,,414
133,2024,12,4,59,0,10,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,1,18,,138
134,2024,12,1,10,0,03,6,2,6,6,2,,,2,3,10,07,34,,,,300,300,1,420,420,0,,0,0,0,,3,,1670,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,159
135,2024,12,4,47,0,06,,2,1,6,,1,1,2,3,17,02,09,,,,,,,,,,,,,,,,211,,,,,,,,,4,13,9,,,,,,,,,5,,1,06,1,156
136,2024,12,1,12,0,03,5,2,6,5,2,,,2,3,15,04,16,,,,365,240,1,565,415,0,,10,10,20,,20,,4200,3,3,4,4,,,,,,,,,,,,,,,,,1,01,,177
137,2024,12,4,35,4,10,,2,5,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,1,18,,249
138,2024,12,4,12,0,12,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,11,,97
139,2024,12,1,35,0,07,,2,1,6,1,,,1,3,16,02,07,,,,350,290,1,350,290,70,3,0,10,10,,160,,3500,2,3,2,4,,,,,,,,,,,,,,,,,1,09,2,276
140,2024,12,1,59,0,08,,2,4,5,2,,,1,3,17,05,21,,,,400,480,1,450,480,0,,80,0,80,,240,,4519,1,1,2,4,,,,,,,,,,,,,,,,,1,15,4,375
141,2024,12,2,59,0,09,,2,6,3,1,,,2,3,19,07,33,2,12,2,300,0,1,300,0,,,,,,,240,,1800,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,130
142,2024,12,1,35,4,11,,1,1,4,1,,,2,3,13,07,32,,,,100,100,2,100,100,0,,0,0,0,5,151,,4808,3,1,4,4,,,,,,,,,,,,,,,,,,02,,179
143,2024,12,1,46,0,10,,2,2,1,1,,,2,3,10,07,31,,,,370,370,1,370,370,0,,0,0,0,,235,,2200,1,1,3,4,,,,,,,,,,,,,,,,,1,08,,41
144,2024,12,1,47,0,06,,2,6,1,1,,,2,3,17,07,32,,,,400,320,1,400,320,80,1,0,0,0,,19,,1700,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,240
145,2024,12,1,47,0,03,6,1,6,4,1,,,1,3,21,05,23,,,,400,350,1,400,350,0,,0,0,0,,198,,5700,1,1,1,2,,,,,,,,,,,,,,,,,1,01,,164
146,2024,12,2,59,0,10,,2,2,4,1,,,6,3,15,03,13,0,1,,20,0,2,20,0,,,,,,5,55,,,,,,,,,,,,,,,,,,,,,,,1,08,,140
147,2024,12,1,11,0,05,,1,1,4,1,,,3,3,14,01,02,,,,550,550,1,550,550,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,1,02,,42
